exp_id,subject_id,cre_line,depth,num_seqs,num_ROIs,num_timepoints
660513003,360565,Cux2-CreERT2,275,628,198,58315
563176332,280643,Emx1-IRES-Cre,265,628,254,56746
603576132,323982,Ntsr1-Cre_GN220,550,628,129,56760
594090967,314300,Emx1-IRES-Cre,275,628,267,58268
510859641,233215,Cux2-CreERT2,175,628,124,56753
569645690,283284,Cux2-CreERT2,175,628,147,56750
595183197,309689,Nr5a1-Cre,350,628,1,56767
578674360,292490,Rbp4-Cre_KL100,375,628,44,56754
623339221,327599,Sst-IRES-Cre,375,628,17,56620
584944065,301124,Rbp4-Cre_KL100,375,628,21,56741
642884591,344122,Rbp4-Cre_KL100,375,628,16,58253
657391037,355537,Slc17a7-IRES2-Cre,275,628,97,56611
506809539,229107,Cux2-CreERT2,175,628,188,56616
509904120,231120,Rorb-IRES2-Cre,275,628,51,56746
640198011,338502,Rorb-IRES2-Cre,275,628,261,56760
556321897,271729,Nr5a1-Cre,350,628,65,56758
651770794,354499,Slc17a7-IRES2-Cre,175,628,58,56755
663866413,360565,Cux2-CreERT2,275,628,128,56619
555749369,261967,Nr5a1-Cre,350,628,14,56608
671164733,369498,Pvalb-IRES-Cre,175,628,32,58284
646016204,347748,Slc17a7-IRES2-Cre,375,628,67,56623
595808594,309689,Nr5a1-Cre,350,628,10,56765
644386884,338505,Rorb-IRES2-Cre,275,628,292,56629
658518486,360897,Vip-IRES-Cre,175,628,12,56757
661328410,356796,Slc17a7-IRES2-Cre,275,628,214,56778
667004159,370771,Ntsr1-Cre_GN220,550,628,43,56758
651770380,350249,Vip-IRES-Cre,275,628,15,56747
598137246,315118,Sst-IRES-Cre,275,628,11,56765
596779487,315118,Sst-IRES-Cre,275,628,11,56760
676503588,373762,Pvalb-IRES-Cre,275,628,24,56622
647595665,348262,Cux2-CreERT2,175,628,108,56752
559382012,271729,Nr5a1-Cre,350,628,42,56749
603425659,323528,Sst-IRES-Cre,275,628,14,56757
